Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Demarcus Christmas,6-3,294,5.08,25.5,22.0,101.0,8.13,5.07,ChriDe01,6,209,SEA,DT,24,,0,0,0,,,,,,,,,,,,,,,,,,ChriDe01
L.J. Collier,6-2,283,4.91,30.0,25.0,118.0,7.71,4.78,CollLJ00,1,29,SEA,DE,23,2022.0,0,0,1,9.0,9.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,,3.0,CollLJ00
John Cominsky,6-5,286,4.69,33.5,22.0,116.0,7.03,4.38,ComiJo00,4,135,ATL,DE,23,2022.0,0,0,0,7.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,,5.5,ComiJo00
Ryan Connelly,6-2,242,4.66,34.5,,118.0,7.09,4.31,ConnRy00,5,143,NYG,LB,23,2022.0,0,0,0,4.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,ConnRy00
Byron Cowart,6-3,298,5.16,30.0,26.0,111.0,,,CowaBy00,5,159,NWE,DT,23,2022.0,0,0,1,10.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,1.0,CowaBy00
Xavier Crawford,5-11,187,4.48,37.5,11.0,,,,CrawXa00,6,195,HOU,CB,23,2022.0,0,0,0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,CrawXa00
Maxx Crosby,6-5,255,4.66,36.0,,122.0,6.89,4.13,CrosMa00,4,106,OAK,DE,22,2022.0,0,2,4,34.0,34.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,,37.5,CrosMa00
Dennis Daley,6-5,317,5.23,26.5,20.0,103.0,7.95,4.92,DaleDe00,6,212,CAR,T,23,2022.0,0,0,2,13.0,8.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,DaleDe00
Deshaun Davis,5-11,234,,31.0,25.0,111.0,,4.38,DaviDe01,6,210,CIN,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,DaviDe01
Nate Davis,6-3,316,5.23,26.0,23.0,107.0,7.94,4.83,DaviNa01,3,82,TEN,G,22,2022.0,0,0,4,23.0,23.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,DaviNa01
Jamel Dean,6-1,206,4.3,41.0,16.0,130.0,7.02,4.19,DeanJa00,3,94,TAM,CB,22,2022.0,0,0,2,14.0,14.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,7.0,,DeanJa00
Michael Deiter,6-5,309,5.23,28.0,21.0,105.0,7.88,4.81,DeitMi00,3,78,MIA,G,23,2022.0,0,0,1,11.0,11.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,DeitMi00
Andre Dillard,6-5,315,4.96,29.0,24.0,118.0,7.44,4.4,DillAn00,1,22,PHI,T,23,2022.0,0,0,0,7.0,7.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,DillAn00
Chuma Edoga,6-3,308,5.19,,21.0,,,,EdogCh00,3,92,NYJ,T,22,2022.0,0,0,0,6.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,EdogCh00
David Edwards,6-6,308,5.28,25.5,,99.0,7.69,4.77,EdwaDa01,5,169,LAR,T,22,2022.0,0,0,2,23.0,23.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,EdwaDa01
