Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Andre Jones Jr.,EDGE,6-5,248,,29.0,,116,,,-9999
Anthony Johnson Jr.,DB,6-0,205,4.54,37.5,,125,,,-9999
Chris Rodriguez Jr.,RB,6-0,217,,,,,,,-9999
Viliami Fehoko Jr.,DE,6-4,276,,,24,,,,-9999
Will Anderson Jr.,EDGE,6-4,253,4.60,,,,,,AndeWi01
Earl Bostick Jr.,OT,6-6,309,5.05,31.0,,111,,,BostEa00
Dontay Demus Jr.,WR,6-3,212,4.57,35.5,,123,,4.39,DemuDo00
Emil Ekiyor Jr.,OG,6-3,314,,,,,,,EkiyEm01
Paris Johnson Jr.,OT,6-6,313,,,,110,,,JohnPa03
Darrell Luter Jr.,CB,6-0,189,4.46,40.5,,123,6.90,4.43,LuteDa00
Ivan Pace Jr.,LB,5-11,231,,,,,,,PaceIv00
Joey Porter Jr.,CB,6-3,193,4.46,35.0,17,129,,,PortJo02
Calijah Kancey,DT,6-1,281,4.67,,,,,,KancCa00
Kyu Blu Kelly,CB,6-0,191,4.52,36.0,,131,,,-9999
Dalton Kincaid,TE,6-4,246,,,,,,,KincDa00
Jaxson Kirkland,OG,6-7,321,,,,,,,KirkJa03
Malik Knowles,WR,6-2,196,,,,,,,KnowMa00
Adam Korsak,P,6-1,187,,,,,,,KorsAd00
Tucker Kraft,TE,6-5,254,,34.0,23,122,7.08,4.29,-9999
Zack Kuntz,TE,6-7,255,,40.0,23,128,6.87,4.12,-9999
Tyler Lacy,DE,6-4,279,5.11,28.5,30,116,7.60,,LacyTy00
Brent Laing,OG,6-4,304,,,,,,,-9999
Isaiah Land,EDGE,6-4,236,4.62,34.5,21,126,7.20,4.56,-9999
Matt Landers,WR,6-4,200,4.37,37.0,,130,,,-9999
Sam LaPorta,TE,6-3,245,,35.0,,123,6.91,4.25,LaPoSa01
Cameron Latu,TE,6-4,242,,,,,,,LatuCa01
Eku Leota,EDGE,6-3,252,,,,,,,-9999
Will Levis,QB,6-4,229,,34.0,,124,,,LeviWi00
Hunter Luepke,FB,6-1,230,,,,,,,-9999
Will Mallory,TE,6-5,239,,36.5,20,121,,,MallWi00
Tashawn Manning,OG,6-3,327,5.34,27.5,,102,7.90,4.80,-9999
Jartavius Martin,DB,5-11,194,4.46,44.0,15,133,,,MartJa04
Ochaun Mathis,EDGE,6-5,250,4.74,33.5,21,118,,4.38,MathOc00
Cody Mauch,OT,6-5,302,5.08,29.0,,108,7.33,4.55,-9999
Michael Mayer,TE,6-5,249,,32.5,,118,,,MayeMi00
DeWayne McBride,RB,5-10,209,,,,,,,-9999
Warren McClendon,OT,6-4,306,,,,,,,McClWa00
Jordan McFadden,OG,6-2,303,4.99,28.5,,,7.70,4.81,McFaJo00
Isaiah McGuire,DE,6-4,268,4.76,36.5,,122,7.39,,McGuIs00
Kenny McIntosh,RB,6-0,204,4.62,,,,,,McInKe00
Tanner McKee,QB,6-6,231,,33.0,,114,7.22,4.41,McKeTa01
Kaevon Merriweather,DB,6-0,205,4.62,35.5,,118,,,MerrKa00
Kendre Miller,RB,5-11,215,,,,,,,MillKe01
Ventrell Miller,LB,6-0,232,,,,,,,MillVe00
Marvin Mims,WR,5-11,183,4.38,39.5,,129,6.90,,MimsMa00
Jonathan Mingo,WR,6-2,220,4.46,39.5,22,129,,,MingJo00
Cameron Mitchell,CB,5-11,191,4.47,35.0,15,,,,MitcCa01
Keaton Mitchell,RB,5-8,179,4.37,38.0,,126,,,MitcKe01
Jake Moody,K,6-1,209,,,,,,,MoodJa00
Isaiah Moore,LB,6-2,233,,,26,,,,MoorIs00
Jalen Moreno-Cropper,WR,5-11,172,4.40,,,121,,,-9999
Mike Morris,DE,6-5,275,4.95,28.5,22,110,,,MorrMi00
Wanya Morris,OT,6-5,307,5.10,28.5,,111,,,MorrWa01
Riley Moss,CB,6-1,193,4.45,39.0,,127,,,MossRi00
Caleb Murphy,EDGE,6-3,254,4.81,28.5,,119,7.28,4.45,-9999
Myles Murphy,EDGE,6-5,268,,,25,,,,MurpMy00
Luke Musgrave,TE,6-6,253,,36.0,,125,,,MusgLu00
PJ Mustipher,DT,6-4,320,5.41,27.5,19,96,8.01,5.03,MustPJ00
Puka Nacua,WR,6-2,201,,,,,,,NacuPu00
Lukas Van Ness,EDGE,6-5,272,4.58,31.0,17,118,7.02,4.32,-9999
Joseph Ngata,WR,6-3,217,4.54,34.5,,124,,,NgatJo01
Aidan O'Connell,QB,6-3,213,,,,,,,OConAi00
Moro Ojomo,DT,6-3,292,5.04,33.0,29,112,,,OjomMo00
John Ojukwu,OT,6-6,309,5.24,28.5,,104,7.52,4.52,OjukJo00
BJ Ojulari,EDGE,6-2,248,,32.5,,126,,,OjulBJ00
Olusegun Oluwatimi,C,6-3,309,5.38,29.0,,110,,,-9999
Anfernee Orji,LB,6-1,230,4.53,38.5,,122,7.00,4.43,OrjiAn00
DeMarvion Overshown,LB,6-3,229,4.56,,15,124,,,OverDe00
Gervarrius Owens,DB,6-0,195,,37.5,15,125,,,OwenGe00
Trey Palmer,WR,6-0,192,4.33,,,,,,PalmTr00
Owen Pappoe,LB,6-0,225,4.39,35.5,29,126,,,PappOw00
Jarrett Patterson,C,6-5,306,5.33,29.5,,106,7.96,4.73,PattJa03
Kyle Patterson,TE,6-5,260,,,,,,,PattKy00
Camerun Peoples,RB,6-1,217,4.61,37.0,,121,,,PeopCa00
A.T. Perry,WR,6-4,198,4.47,35.0,,133,,,PerrAT00
Lonnie Phelps,EDGE,6-2,244,4.55,,31,,,,PhelLo00
Zacch Pickens,DT,6-4,291,4.89,30.5,22,116,7.45,4.62,PickZa00
Jack Podlesny,K,6-0,194,,,,,,,-9999
B.T. Potter,K,5-10,185,,,,,,,-9999
Deneric Prince,RB,6-0,216,4.41,35.5,,124,,,PrinDe00
Jose Ramirez,EDGE,6-2,242,4.73,34.5,21,118,6.95,4.30,-9999
Jalen Redmond,DT,6-2,291,4.81,34.5,27,116,7.30,4.51,RedmJa01
Jayden Reed,WR,5-11,187,4.45,33.5,,121,,4.29,ReedJa03
Rashee Rice,WR,6-1,204,4.51,41.0,,128,,,RiceRa01
Asim Richards,OT,6-4,309,,,,,,,RichAs00
Anthony Richardson,QB,6-4,244,4.43,40.5,,129,,,RichAn03
Eli Ricks,CB,6-2,188,,,,,,,RickEl00
Kelee Ringo,CB,6-2,207,4.36,33.5,,122,,,RingKe00
Brad Robbins,P,6-1,199,,,,,,,-9999
Tavius Robinson,EDGE,6-6,257,4.66,33.5,23,120,,4.62,-9999
Bijan Robinson,RB,5-11,215,4.46,37.0,,124,,,RobiBi01
Jammie Robinson,DB,5-11,191,4.59,33.5,23,116,,,RobiJa03
Jaquelin Roy,DT,6-3,305,,,30,,8.01,5.00,RoyxJa00
Darius Rush,CB,6-2,198,4.36,35.0,,121,,,RushDa00
Chad Ryland,K,6-0,190,,,,,,,RylaCh00
Nick Saldiveri,OG,6-6,318,5.21,31.0,,111,,4.69,-9999
Drew Sanders,LB,6-4,235,,,,,,,SandDr00
John Michael Schmitz,C,6-4,301,5.35,29.5,,104,,4.56,-9999
Luke Schoonmaker,TE,6-5,251,,33.5,,127,,4.27,SchoLu00
Daniel Scott,DB,6-1,208,4.45,39.5,22,128,6.75,4.17,ScotDa03
Tyler Scott,WR,5-10,177,4.44,39.5,,133,,,ScotTy00
Juice Scruggs,C,6-3,301,5.22,32.0,,102,7.75,4.82,ScruJu00
