Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
Eyioma Uwazurike,6-6,316.0,4.726923076923077,33.0,22.0,107.0,7.050000000000001,4.338,UwazEy00,4.0,116.0,DEN,DE,24.0,2022.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,UwazEy00
Cordell Volson,6-6,315.0,5.27,25.0,25.0,104.0,8.31,4.93,VolsCo02,4.0,136.0,CIN,T,24.0,2022.0,0.0,0.0,1.0,9.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,VolsCo02
Matt Waletzko,6-8,312.0,5.03,30.0,26.3,113.0,7.6594999999999995,4.699583333333333,WaleMa00,5.0,155.0,DAL,OL,22.0,2022.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WaleMa00
Quay Walker,6-4,241.0,4.52,32.0,23.75,122.0,7.03,4.326666666666667,WalkQu00,1.0,22.0,GNB,LB,22.0,2022.0,0.0,0.0,1.0,7.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,,1.5,WalkQu00
Rasheed Walker,6-6,313.0,5.136666666666667,27.59259259259259,26.3,107.78571428571429,7.6594999999999995,4.699583333333333,WalkRa00,7.0,249.0,GNB,OL,22.0,2022.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WalkRa00
Travon Walker,6-5,272.0,4.51,35.5,22.0,123.0,6.89,4.32,WalkTr03,1.0,1.0,JAX,DE,21.0,2022.0,0.0,0.0,1.0,6.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,3.5,WalkTr03
Christian Watson,6-4,208.0,4.36,38.5,,136.0,7.098000000000001,4.308750000000001,WatsCh00,2.0,34.0,GNB,WR,23.0,2022.0,0.0,0.0,1.0,7.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,80.0,2.0,41.0,611.0,7.0,,,,WatsCh00
Jaylen Watson,6-2,197.0,4.51,36.55,18.0,127.44444444444444,6.686666666666667,4.08,WatsJa02,7.0,243.0,KAN,DB,23.0,2022.0,0.0,0.0,0.0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,,WatsJa02
Luke Wattenberg,6-4,299.0,5.2,29.5,26.3,113.0,7.45,4.57,WattLu00,5.0,171.0,DEN,OL,24.0,2022.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WattLu00
Rachaad White,6-0,214.0,4.48,38.0,23.5,125.0,,,WhitRa01,3.0,91.0,TAM,RB,23.0,2022.0,0.0,0.0,0.0,4.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,129.0,481.0,1.0,50.0,290.0,2.0,4.0,,,WhitRa01
Zamir White,6-0,214.0,4.4,33.5,23.5,128.0,,,WhitZa01,4.0,122.0,LVR,RB,22.0,2022.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,70.0,0.0,0.0,0.0,0.0,,,,WhitZa01
