Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Jake Hanson,6-4,303,5.50,,33,,,,HansJa00
Scoota Harris,6-0,234,4.69,33.0,18,111,7.38,4.32,HarrDe10
Nick Harris,6-1,302,5.10,29.5,20,103,,,HarrNi01
Malik Harrison,6-3,247,4.66,36.0,,122,6.83,4.32,HarrMa06
JaMycal Hasty,5-8,205,4.55,39.0,15,123,,4.03,HastJa02
Jaylinn Hawkins,6-1,208,,35.5,,117,,,HawkJa00
Charlie Heck,6-8,311,5.16,28.0,21,112,8.02,4.86,HeckCh00
C.J. Henderson,6-1,204,4.39,37.5,20,127,,,HendCJ00
Matt Hennessy,6-4,307,5.18,30.0,23,110,7.45,4.60,HennMa00
Justin Herbert,6-6,236,4.68,35.5,,123,7.06,4.46,HerbJu00
Brian Herrien,5-11,209,4.62,38.5,18,126,7.12,4.40,HerrBr00
Justin Herron,6-4,308,5.26,33.0,27,105,8.41,4.88,HerrJu00
Tee Higgins,6-4,216,,,,,,,HiggTe00
Alex Highsmith,6-3,248,4.70,33.0,,125,7.32,4.31,HighAl02
John Hightower,6-1,189,4.43,38.5,,122,7.07,4.21,HighJo00
K.J. Hill,6-0,196,4.60,32.5,17,114,,,HillKJ00
Lavert Hill,5-10,190,,,21,,,,HillLa01
Trevon Hill,6-3,248,4.89,28.0,,113,,,HillTr02
Isaiah Hodgins,6-4,210,4.61,36.5,9,124,7.01,4.12,HodgIs00
Sterling Hofrichter,5-10,196,,,,,,,HofrSt00
Darnay Holmes,5-10,195,4.48,,12,,,,HolmDa01
Brycen Hopkins,6-4,245,4.66,33.5,21,116,7.25,4.28,HopkBr01
Khaleke Hudson,5-11,224,4.56,33.0,30,120,,,HudsKh00
Robert Hunt,6-5,323,,,,,,,HuntRo01
Jalen Hurts,6-1,222,4.59,35.0,,125,,,HurtJa00
Noah Igbinoghene,5-10,198,4.48,37.0,15,128,,,IgbiNo00
Brian Cole II,6-2,213,4.52,,,,,,ColeBr01
Rashard Lawrence II,6-2,308,5.07,,22,,8.03,,LawrRa01
Reggie Robinson II,6-1,205,4.44,36.0,22,132,7.09,4.18,RobiRe00
Henry Ruggs III,5-11,188,4.27,42.0,,131,,,RuggHe00
Keith Ismael,6-3,309,5.34,32.0,,108,8.14,4.65,IsmaKe00
Cordel Iwuagwu,6-3,309,5.22,27.0,25,94,8.03,4.87,IwuaCo01
Austin Jackson,6-5,322,5.07,31.0,27,115,7.95,,JackAu00
Dane Jackson,6-0,187,4.57,35.0,,122,7.07,4.27,JackDa02
Jonah Jackson,6-3,306,5.23,26.0,28,98,7.83,5.02,JackJo03
Lamar Jackson,6-2,208,4.58,36.5,10,122,,,JackLa01
Trishton Jackson,6-1,197,4.50,36.0,,117,,,JackTr02
Justin Jefferson,6-1,202,4.43,37.5,,126,,,JeffJu00
Van Jefferson,6-1,200,,,,,,,JeffVa00
Anfernee Jennings,6-2,256,,,,,,,JennAn00
Jauan Jennings,6-3,215,4.72,29.0,,119,,,JennJa00
Jerry Jeudy,6-1,193,4.45,35.0,,120,,4.53,JeudJe00
Collin Johnson,6-6,222,,,17,,,,JohnCo01
