Player,Drafted (tm/rnd/yr),Player-additional
Daelin Hayes,Baltimore Ravens / 5th / 171st pick / 2021,HayeDa00
Damon Hazelton,,HazeDa00
Jack Heflin,,HeflJa00
Brett Heggie,,HeggBr00
Justin Henderson,,-9999
Khalil Herbert,Chicago Bears / 6th / 217th pick / 2021,HerbKh00
Grant Hermanns,,-9999
Malik Herring,,HerrMa02
Kylin Hill,Green Bay Packers / 7th / 256th pick / 2021,HillKy00
Trey Hill,Cincinnati Bengals / 6th / 190th pick / 2021,HillTr03
Justin Hilliard,,HillJu01
Nate Hobbs,,-9999
Darius Hodge,,HodgDa01
Jevon Holland,Miami Dolphins / 2nd / 36th pick / 2021,HollJe02
Jaycee Horn,Carolina Panthers / 1st / 8th pick / 2021,HornJa00
Phil Hoskins,,-9999
Chuba Hubbard,Carolina Panthers / 4th / 126th pick / 2021,HubbCh01
Wyatt Hubert,Cincinnati Bengals / 7th / 235th pick / 2021,HubeWy00
James Hudson,Cleveland Browns / 4th / 110th pick / 2021,HudsJa00
Talanoa Hufanga,San Francisco 49ers / 5th / 180th pick / 2021,HufaTa00
Justin Hughes,,-9999
Creed Humphrey,Kansas City Chiefs / 2nd / 63rd pick / 2021,HumpCr00
Sadarius Hutcherson,,HutcSa00
Josh Imatorbhebhe,,ImatJo00
Alaric Jackson,,JackAl01
Deon Jackson,,JackDe02
Drake Jackson,,JackDr00
Tarron Jackson,Philadelphia Eagles / 6th / 191st pick / 2021,JackTa02
Warren Jackson,,JackWa00
Jerry Jacobs,,JacoJe00
Brenden Jaimes,Los Angeles Chargers / 5th / 159th pick / 2021,JaimBr00
Shemar Jean-Charles,,-9999
Jermar Jefferson,Detroit Lions / 7th / 257th pick / 2021,JeffJe00
Teven Jenkins,Chicago Bears / 2nd / 39th pick / 2021,JenkTe00
Adam Jewell,,-9999
Sterling Johnson,,-9999
Jerome Johnson,,-9999
Jamar Johnson,Denver Broncos / 5th / 164th pick / 2021,JohnJa15
Josh Johnson,,JohnJo06
Johnathon Johnson,,JohnJo11
Mustafa Johnson,,JohnMu00
Patrick Johnson,Philadelphia Eagles / 7th / 234th pick / 2021,JohnPa02
Zeandae Johnson,,JohnZe00
Jamal Jones,,-9999
Ernest Jones,Los Angeles Rams / 3rd / 103rd pick / 2021,JoneEr01
Mac Jones,New England Patriots / 1st / 15th pick / 2021,JoneMa05
Naquan Jones,,JoneNa01
Patrick Jones,Minnesota Vikings / 3rd / 90th pick / 2021,JonePa00
Robert Jones,,JoneRo02
Brevin Jordan,Houston Texans / 5th / 147th pick / 2021,JordBr00
Kelvin Joseph,Dallas Cowboys / 2nd / 44th pick / 2021,JoseKe02
Terrace Marshall Jr.,,-9999
Asante Samuel Jr.,,-9999
Thomas Graham Jr.,,-9999
Kary Vincent Jr.,Denver Broncos / 7th / 237th pick / 2021,VincKa00
Hunter Kampmoyer,,-9999
Xavier Kelly,,-9999
Alex Kessman,,-9999
Devon Key,,-9999
Cameron Kinley,,KinlCa00
Logan Klusman,,-9999
Brenden Knox,,KnoxBr00
Ben Knutson,,-9999
Malcolm Koonce,Las Vegas Raiders / 3rd / 79th pick / 2021,KoonMa00
Tommy Kraemer,,KraeTo02
Adam Krumholz,,-9999
Bruno Labelle,,-9999
Trey Lance,San Francisco 49ers / 1st / 3rd pick / 2021,LancTr00
Cole Van Lanen,Green Bay Packers / 6th / 214th pick / 2021,VanxCo00
Nolan Laufenberg,,-9999
