Player,Pos_x,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos_y,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Austin Corbett,OG,6-4,306,5.15,28.0,19.0,106.0,7.87,4.5,CorbAu00,2,33,CLE,C,23,2022.0,0,0,4,24.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,CorbAu00
Keke Coutee,WR,5-10,181,4.43,34.5,14.0,113.0,6.93,4.15,CoutKe00,4,103,HOU,WR,21,2022.0,0,0,0,7.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,1.0,85.0,966.0,4.0,,,,CoutKe00
Chris Covington,OLB,6-2,245,4.78,,23.0,,,,CoviCh01,6,193,DAL,LB,22,2019.0,0,0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,CoviCh01
Tyrell Crosby,OT,6-5,309,5.23,30.0,17.0,105.0,7.89,4.77,CrosTy00,5,153,DET,T,23,2020.0,0,0,1,11.0,11.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,CrosTy00
Dane Cruikshank,S,6-1,206,4.41,38.5,25.0,121.0,6.89,4.24,CruiDa00,5,152,TEN,CB,23,2022.0,0,0,0,4.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,1.0,46.0,1.0,,CruiDa00
James Daniels,C,6-3,306,,30.5,21.0,108.0,7.29,4.4,DaniJa01,2,39,CHI,C,20,2022.0,0,0,5,24.0,17.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,DaniJa01
Sam Darnold,QB,6-3,221,4.85,26.5,,105.0,6.96,4.4,DarnSa00,1,3,NYJ,QB,21,2022.0,0,0,4,25.0,16.0,56.0,1054.0,1765.0,11767.0,61.0,55.0,188.0,745.0,12.0,0.0,0.0,0.0,,,,DarnSa00
Marcus Davenport,DE,6-6,264,4.58,33.5,22.0,124.0,7.2,4.41,DaveMa00,1,14,NOR,DE,22,2022.0,0,0,2,18.0,18.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,,21.5,DaveMa00
Carlton Davis,CB,6-1,203,4.53,34.0,16.0,124.0,,,DaviCa02,2,63,TAM,CB,21,2022.0,0,0,4,22.0,22.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,7.0,,DaviCa02
Duke Dawson,CB,5-10,208,4.46,,15.0,,,,DawsDu00,2,56,NWE,CB,22,2020.0,0,0,0,3.0,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,DawsDu00
Jamil Demby,OG,6-4,319,5.58,23.5,17.0,98.0,7.86,4.95,DembJa00,6,192,LAR,T,22,2019.0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,DembJa00
Michael Dickson,P,6-2,208,,,,,,,DickMi00,5,149,SEA,P,22,2022.0,1,1,1,14.0,14.0,82.0,0.0,0.0,0.0,0.0,0.0,3.0,-9.0,0.0,0.0,0.0,0.0,1.0,,,DickMi00
Will Dissly,TE,6-4,262,4.87,28.0,15.0,111.0,7.07,4.4,DissWi00,4,120,SEA,TE,22,2022.0,0,0,3,9.0,9.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,110.0,1249.0,12.0,6.0,,,DissWi00
Chase Edmonds,RB,5-9,205,4.55,34.0,19.0,122.0,6.79,4.07,EdmoCh00,4,134,ARI,RB,22,2022.0,0,0,1,20.0,17.0,70.0,0.0,0.0,0.0,0.0,0.0,401.0,1796.0,11.0,144.0,1078.0,6.0,13.0,,,EdmoCh00
Terrell Edmunds,S,6-2,220,4.47,41.5,,134.0,,,EdmuTe00,1,28,PIT,S,21,2022.0,0,0,5,25.0,25.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,5.0,5.0,EdmuTe00
Tremaine Edmunds,LB,6-5,253,4.54,,19.0,117.0,,,EdmuTr01,1,16,BUF,ILB,20,2022.0,0,2,5,45.0,45.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,5.0,6.5,EdmuTr01
Duke Ejiofor,DE,6-4,264,,,,,,,EjioDu00,6,177,HOU,DE,23,2018.0,0,0,0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,1.0,EjioDu00
Danny Etling,QB,6-2,222,4.76,30.5,,114.0,7.09,4.37,EtliDa00,7,219,NWE,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,EtliDa00
Rashaan Evans,LB,6-3,232,,30.0,,116.0,6.95,4.36,EvanRa01,1,22,TEN,ILB,22,2022.0,0,0,4,31.0,25.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,2.0,5.0,EvanRa01
Luke Falk,QB,6-4,215,,26.5,,103.0,,,FalkLu00,6,199,TEN,QB,23,2019.0,0,0,0,1.0,,3.0,47.0,73.0,416.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,FalkLu00
Kylie Fitts,EDGE,6-4,263,4.69,32.5,31.0,117.0,6.88,4.19,FittKy00,6,181,CHI,DE,23,2021.0,0,0,0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,FittKy00
Minkah Fitzpatrick,DB,6-1,201,4.46,33.0,14.0,121.0,,,FitzMi00,1,11,MIA,S,21,2022.0,3,3,4,48.0,4.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,19.0,,FitzMi00
Tre Flowers,S,6-3,200,4.45,34.5,18.0,122.0,,,FlowTr01,5,146,SEA,S,23,2022.0,0,0,2,18.0,15.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,4.0,2.0,FlowTr01
John Franklin-Myers,DE,6-4,283,4.75,33.0,26.0,113.0,7.36,4.48,FranJo02,4,135,LAR,DE,21,2022.0,0,0,2,18.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,16.0,FranJo02
Joshua Frazier,DT,6-4,321,,,21.0,,,,FrazJo00,7,246,PIT,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,FrazJo00
Royce Freeman,RB,5-11,229,4.54,34.0,17.0,118.0,6.9,4.16,FreeRo00,3,71,DEN,RB,22,2022.0,0,0,0,11.0,9.0,65.0,0.0,0.0,0.0,0.0,0.0,394.0,1473.0,8.0,85.0,519.0,1.0,4.0,,,FreeRo00
Troy Fumagalli,TE,6-5,247,,,14.0,,,,FumaTr00,5,156,DEN,TE,23,2020.0,0,0,0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,118.0,2.0,1.0,,,FumaTr00
Michael Gallup,WR,6-1,205,4.51,36.0,10.0,122.0,6.95,4.37,GallMi00,3,81,DAL,WR,22,2022.0,0,0,4,26.0,26.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,3326.0,19.0,1.0,,,GallMi00
Rashaan Gaulden,CB,6-1,193,4.61,30.0,8.0,119.0,7.16,4.33,GaulRa00,3,85,CAR,CB,23,2020.0,0,0,0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,,GaulRa00
Mike Gesicki,TE,6-5,247,4.54,41.5,22.0,129.0,6.76,4.1,GesiMi00,2,42,MIA,TE,22,2022.0,0,0,1,19.0,19.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,2617.0,18.0,1.0,,,GesiMi00
Dallas Goedert,TE,6-5,256,,,23.0,,,,GoedDa00,2,49,PHI,TE,23,2022.0,0,0,5,25.0,25.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,2997.0,19.0,5.0,,,GoedDa00
Colby Gossett,OG,6-5,311,5.2,25.0,32.0,103.0,7.6,4.83,GossCo00,6,213,MIN,G,23,2022.0,0,0,0,4.0,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,GossCo00
Rasheem Green,DE,6-5,275,4.73,32.5,,118.0,7.24,4.39,GreeRa01,3,79,SEA,DT,21,2022.0,0,0,2,16.0,13.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,17.0,GreeRa01
Shaquem Griffin,OLB,6-1,227,4.38,,20.0,117.0,,,GrifSh01,5,141,SEA,OLB,23,2020.0,0,0,0,4.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,1.0,GrifSh01
Derrius Guice,RB,5-10,224,4.49,31.5,15.0,,,,GuicDe00,2,59,WAS,RB,21,2019.0,0,0,0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,42.0,245.0,2.0,7.0,79.0,1.0,,,,GuicDe00
Davontae Harris,CB,6-0,200,4.43,32.5,22.0,123.0,6.96,4.4,HarrDa05,5,151,CIN,CB,23,2022.0,0,0,0,5.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,,,HarrDa05
Marcell Harris,S,6-0,208,,,16.0,,,,HarrMa03,6,184,SFO,S,24,2022.0,0,0,0,14.0,13.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,1.0,1.0,HarrMa03
Ronnie Harrison,S,6-3,214,,34.0,,120.0,,,HarrRo02,3,93,JAX,S,21,2022.0,0,0,3,18.0,10.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,5.0,5.5,HarrRo02
Marquis Haynes,EDGE,6-3,235,4.67,32.0,23.0,123.0,7.14,4.45,HaynMa01,4,136,CAR,OLB,24,2022.0,0,0,0,7.0,7.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,13.0,HaynMa01
Will Hernandez,OG,6-2,327,5.15,24.0,37.0,104.0,7.59,4.7,HernWi00,2,34,NYG,G,23,2022.0,0,0,4,28.0,22.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HernWi00
Chris Herndon,TE,6-4,253,,,21.0,,,,HernCh00,4,107,NYJ,TE,22,2021.0,0,0,2,6.0,6.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,836.0,8.0,,,,HernCh00
B.J. Hill,DT,6-4,311,4.99,26.5,35.0,101.0,7.28,4.53,HillB.00,3,69,NYG,DT,23,2022.0,0,0,3,20.0,8.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,,16.0,HillB.00
Nyheim Hines,RB,5-8,198,4.38,35.5,,119.0,7.18,4.35,HineNy00,4,104,IND,RB,21,2022.0,0,0,0,25.0,22.0,81.0,0.0,0.0,0.0,0.0,0.0,306.0,1202.0,10.0,240.0,1778.0,8.0,3.0,,,HineNy00
Jalyn Holmes,DE,6-5,283,4.82,32.0,25.0,,,,HolmJa01,4,102,MIN,DE,22,2022.0,0,0,0,6.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,1.0,HolmJa01
Sam Hubbard,DE,6-5,270,,35.0,,116.0,6.84,4.32,HubbSa00,3,77,CIN,DE,23,2022.0,0,0,4,30.0,30.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,,30.5,HubbSa00
Mike Hughes,CB,5-11,191,4.53,35.5,20.0,127.0,6.7,4.13,HughMi00,1,30,MIN,CB,21,2022.0,0,0,0,9.0,5.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,3.0,,HughMi00
Hayden Hurst,TE,6-4,250,4.67,31.5,,120.0,7.19,4.37,HursHa00,1,25,BAL,TE,25,2022.0,0,0,1,16.0,6.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,177.0,1718.0,14.0,2.0,,,HursHa00
Joel Iyiegbuniwe,LB,6-1,229,4.6,35.0,19.0,117.0,7.06,4.28,IyieJo00,4,115,CHI,LB,22,2022.0,0,0,0,5.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,,IyieJo00
Ryan Izzo,TE,6-5,256,4.94,33.0,18.0,110.0,7.15,4.43,IzzoRy00,7,250,NWE,TE,22,2021.0,0,0,1,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,313.0,1.0,,,,IzzoRy00
Donte Jackson,CB,5-11,175,4.32,,7.0,124.0,,,JackDo02,2,55,CAR,CB,22,2022.0,0,0,5,21.0,21.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,14.0,1.0,JackDo02
Josh Jackson,CB,6-1,192,4.56,38.0,18.0,123.0,6.86,4.03,JackJo01,2,45,GNB,CB,22,2022.0,0,0,0,8.0,7.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,,,JackJo01
Justin Jackson,RB,6-0,199,4.52,38.5,13.0,122.0,6.81,4.07,JackJu01,7,251,LAC,RB,22,2022.0,0,0,0,12.0,10.0,59.0,0.0,0.0,0.0,0.0,0.0,248.0,1210.0,5.0,77.0,609.0,1.0,10.0,,,JackJu01
Lamar Jackson,QB,6-2,216,,,,,,,JackLa00,1,32,BAL,QB,21,2022.0,1,2,4,69.0,69.0,70.0,1055.0,1655.0,12209.0,101.0,38.0,727.0,4437.0,24.0,0.0,0.0,0.0,1.0,,,JackLa00
Leon Jacobs,EDGE,6-3,246,4.48,34.5,26.0,122.0,7.14,4.44,JacoLe00,7,230,JAX,OLB,22,2020.0,0,0,1,7.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,2.0,JacoLe00
Natrell Jamerson,S,6-0,198,4.4,35.5,25.0,120.0,,,JameNa00,5,164,NOR,S,22,2020.0,0,0,0,1.0,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,JameNa00
Derwin James,S,6-3,215,4.47,40.0,21.0,132.0,,,JameDe00,1,17,LAC,S,22,2022.0,1,3,3,24.0,24.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,7.0,9.5,JameDe00
Richie James,WR,5-10,183,4.48,35.5,6.0,122.0,6.87,4.16,JameRi00,7,240,SFO,WR,23,2023.0,0,0,1,12.0,6.0,58.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,96.0,1264.0,7.0,2.0,,,JameRi00
Malik Jefferson,OLB,6-3,236,4.52,36.0,27.0,125.0,,,JeffMa00,3,78,CIN,OLB,21,2021.0,0,0,0,3.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,JeffMa00
Josey Jewell,ILB,6-1,234,4.82,33.0,18.0,117.0,6.8,4.27,JeweJo00,4,106,DEN,ILB,23,2022.0,0,0,3,23.0,23.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,2.0,6.0,JeweJo00
Kerryon Johnson,RB,5-11,213,,40.0,11.0,126.0,7.07,4.29,JohnKe06,2,43,DET,RB,21,2021.0,0,0,1,11.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,283.0,1225.0,8.0,61.0,527.0,3.0,,,,JohnKe06
Taron Johnson,CB,6-0,180,4.5,33.0,17.0,118.0,7.03,4.28,JohnTa01,4,121,BUF,CB,22,2022.0,0,0,4,19.0,19.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,4.0,6.0,JohnTa01
Jamarco Jones,OT,6-4,299,5.5,24.0,,102.0,8.32,4.99,JoneJa08,5,168,SEA,T,22,2021.0,0,0,0,7.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,JoneJa08
Justin Jones,DT,6-2,309,5.09,29.0,24.0,104.0,7.82,4.74,JoneJu03,3,84,LAC,DT,22,2022.0,0,0,4,22.0,15.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,,7.5,JoneJu03
Sam Jones,OG,6-5,305,5.32,27.0,28.0,101.0,7.92,4.86,JoneSa00,6,183,DEN,G,22,2018.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,JoneSa00
