Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Allen Lazard,WR,6-5,227,4.55,38.0,17,122,,,LazaAl00
Tanner Lee,QB,6-4,218,4.98,32.0,,115,7.00,4.41,LeexTa00
Darius Leonard,OLB,6-2,234,4.70,,17,,,,LeonDa00
Rick Leonard,OT,6-7,311,,,19,,,,LeonRi00
Tyquan Lewis,EDGE,6-3,265,,35.5,,122,,,LewiTy00
Chase Litton,QB,6-5,230,4.90,29.5,,106,7.49,4.53,LittCh01
James Looney,DE,6-3,287,4.89,35.5,28,113,7.32,4.37,LoonJa00
Lowell Lotulelei,DT,6-2,315,,,28,,,,-9999
Avonte Maddox,CB,5-9,180,4.39,37.0,13,125,6.51,4.00,MaddAv00
Cole Madison,OL,6-5,308,5.33,28.5,26,97,7.86,4.88,MadiCo01
K.J. Malone,OG,6-4,303,5.34,29.5,15,103,,,-9999
Tavares Martin,WR,6-1,177,4.80,31.5,,,,,-9999
Hercules Mata'afa,EDGE,6-1,254,4.76,31.5,26,108,7.24,4.37,MataHe00
Baker Mayfield,QB,6-1,215,4.84,29.0,,111,7.00,4.28,MayfBa00
Ray-ray McCloud,WR,5-9,190,4.53,34.5,13,113,,,McClRa00
Mike McCray,ILB,6-4,243,4.76,31.5,16,119,7.09,4.25,McCrMi01
Kc McDermott,OG,6-6,311,5.35,23.5,26,97,7.72,4.82,McDeKC01
Tarvarus McFadden,CB,6-2,198,4.67,38.5,,121,,,McFaTa00
Mike McGlinchey,OT,6-8,309,,28.5,24,105,,,McGlMi00
R.J. McIntosh,DT,6-4,286,,,,,,,McInR.00
Kahlil McKenzie,DT,6-5,314,5.15,29.5,26,105,7.94,4.68,McKeKa00
Quenton Meeks,DB,6-2,205,,39.0,11,128,6.72,4.23,MeekQu00
Sony Michel,RB,5-11,214,4.54,,22,,,4.21,MichSo00
Anthony Miller,WR,5-11,201,,,22,,,,MillAn02
Kolton Miller,OT,6-9,309,4.95,31.5,24,121,7.34,4.49,MillKo00
Steven Mitchell,WR,5-10,189,4.56,32.5,13,121,6.75,4.40,MitcSt02
Jmon Moore,WR,6-3,207,4.60,38.0,21,120,6.56,4.04,-9999
D.J. Moore,WR,6-0,210,4.42,39.5,15,132,6.95,4.07,MoorD.00
Kamrin Moore,CB,5-11,200,,,,,,,MoorKa01
Skai Moore,OLB,6-2,226,4.73,36.0,,117,,,MoorSk00
Ryan Nall,RB,6-2,232,4.58,33.0,15,122,6.95,4.16,NallRy00
Siran Neal,S,6-0,199,4.56,40.5,17,122,7.00,4.28,NealSi00
Nick Nelson,CB,5-11,208,4.52,,17,123,,,NelsNi00
Quenton Nelson,OG,6-5,325,,26.5,35,105,7.65,4.62,NelsQu00
Bilal Nichols,DT,6-4,306,4.95,,29,,,,NichBi00
Parry Nickerson,CB,6-0,180,4.32,,15,,,,NickPa00
Derrick Nnadi,DT,6-1,317,5.38,27.0,25,96,8.15,5.02,NnadDe00
Kendrick Norton,DT,6-3,314,5.25,,30,,,,NortKe01
Joseph Noteboom,OT,6-5,309,4.96,24.0,27,102,7.65,4.44,NoteJo00
Uchenna Nwosu,EDGE,6-3,251,4.65,32.0,20,119,,,NwosUc00
Dorian O'daniel,OLB,6-1,223,4.61,32.0,21,119,6.64,4.07,ODanDo00
Brian O'neill,OT,6-7,297,4.82,29.5,22,107,7.14,4.50,ONeiBr00
Chukwuma Okorafor,OT,6-6,320,5.31,23.5,19,102,7.87,4.80,OkorCh00
Ogbonnia Okoronkwo,EDGE,6-1,253,4.77,38.0,27,121,,,OkorOg00
Isaiah Oliver,CB,6-1,190,4.50,,,,,,OlivIs00
Brandon Parker,OT,6-8,305,5.40,28.5,,113,7.82,4.68,ParkBr01
Timon Parris,OT,6-6,312,,,27,,,,ParrTi00
Daron Payne,DT,6-2,311,4.95,28.5,27,107,7.58,4.71,PaynDa00
Rashaad Penny,RB,5-11,220,4.46,32.5,13,120,,,PennRa00
Kamryn Pettway,RB,6-0,233,4.74,33.5,22,116,,,-9999
Skyler Phillips,OG,6-3,318,5.10,29.0,,104,7.95,4.69,-9999
Cam Phillips,WR,6-0,201,,,,,,,PhilCa01
Darius Phillips,CB,5-10,190,4.54,,,,,,PhilDa02
Harrison Phillips,DT,6-4,307,5.21,32.0,42,103,7.28,4.50,PhilHa00
Eddy Pineiro,K,6-0,185,,,,,,,PineEd00
Billy Price,C,6-4,305,,,,,,,PricBi01
Byron Pringle,WR,6-1,203,4.46,33.5,15,120,6.87,4.40,PrinBy00
Jacob Pugh,OLB,6-4,246,4.65,38.5,,122,,,-9999
Scott Quessenberry,C,6-4,310,5.09,33.5,25,111,7.50,4.69,QuesSc00
Trey Quinn,WR,5-11,203,4.55,33.5,17,116,6.91,4.19,QuinTr00
Frank Ragnow,C,6-5,312,,,26,,,,RagnFr00
Martinas Rankin,OL,6-4,308,,,24,,,,RankMa00
Max Redfield,S,6-1,205,4.69,,15,,,,-9999
D.J. Reed,CB,5-9,188,4.51,36.5,11,,,,ReedD.00
Justin Reid,S,6-1,204,4.40,36.5,16,128,6.65,4.15,ReidJu00
Demario Richard,RB,5-9,218,4.70,29.5,12,115,,,-9999
Will Richardson,OT,6-6,306,5.26,31.5,,108,7.80,4.83,RichWi01
Calvin Ridley,WR,6-0,189,4.43,31.0,15,110,6.88,4.41,RidlCa00
Stephen Roberts,S,5-11,189,4.53,34.0,,121,,,-9999
Korey Robertson,WR,6-1,212,4.56,34.0,13,123,,,RobeKo00
Javon Rolland-Jones,EDGE,6-2,253,4.88,,23,,,,-9999
Josh Rosen,QB,6-4,226,4.92,31.0,,111,7.09,4.28,RoseJo01
Olubunmi Rotimi,DE,6-4,273,,32.0,21,113,7.46,4.70,-9999
Mason Rudolph,QB,6-5,235,4.90,26.0,,,,,RudoMa00
Christian Sam,ILB,6-2,244,4.75,32.0,28,114,7.03,4.25,SamxCh00
Jaylen Samuels,TE,5-11,225,4.54,34.5,18,121,6.93,4.28,SamuJa00
Dominick Sanders,S,6-0,193,,,14,,,,-9999
Tegray Scales,ILB,6-0,230,4.77,,27,,,,ScalTe00
Bo Scarbrough,RB,6-1,228,4.52,40.0,14,129,,4.34,ScarBo01
Dalton Schultz,TE,6-5,244,4.75,32.0,15,120,7.00,4.40,SchuDa00
Jaleel Scott,WR,6-5,218,4.56,34.5,16,124,7.20,4.40,ScotJa02
Jk Scott,P,6-6,208,4.83,30.5,,114,7.28,4.41,ScotJK00
Deadrin Senat,DT,6-0,314,5.16,26.0,35,100,7.77,4.79,SenaDe00
Greg Senat,OT,6-6,302,5.38,26.0,19,106,7.41,4.71,SenaGr00
Tim Settle,DT,6-3,329,5.37,23.5,,96,7.95,4.83,SettTi00
Coleman Shelton,C,6-3,292,5.24,26.5,,110,7.62,4.59,ShelCo00
Nathan Shepherd,DT,6-5,315,5.09,31.0,,112,7.50,4.53,ShepNa00
Nic Shimonek,QB,6-3,220,4.88,28.5,,101,7.28,4.32,-9999
Trequan Smith,WR,6-2,203,4.49,37.5,12,130,6.97,4.50,-9999
Andre Smith,ILB,6-0,237,4.63,,19,,,,SmitAn04
Braden Smith,OG,6-6,315,5.22,33.5,35,113,,4.77,SmitBr06
Roquan Smith,OLB,6-1,236,4.51,,,,,,SmitRo07
Van Smith,S,5-11,185,4.61,29.5,,,,,SmitVa00
Durham Smythe,TE,6-5,253,4.81,31.0,18,110,7.17,4.23,SmytDu00
Breeland Speaks,DT,6-3,283,4.87,32.5,,110,7.63,4.65,SpeaBr00
Taylor Stallworth,DT,6-2,312,5.28,23.5,18,101,7.95,4.75,StalTa00
M.J. Stewart,CB,5-11,200,4.54,35.0,18,118,6.90,4.28,StewM.00
Kentavius Street,DE,6-2,280,4.87,,28,,,,StreKe00
Greg Stroman,CB,6-0,180,4.48,33.5,16,113,,4.45,StroGr00
Chandon Sullivan,CB,5-11,195,4.60,40.5,15,134,,4.36,SullCh00
Courtland Sutton,WR,6-3,218,4.54,35.5,18,124,6.57,4.11,SuttCo00
Josh Sweat,EDGE,6-4,251,4.53,39.5,,124,,4.28,SweaJo00
Auden Tate,WR,6-5,228,4.68,31.0,,112,,,TateAu00
Rod Taylor,OT,6-3,320,5.24,30.5,,99,,,TaylRo01
Wyatt Teller,OG,6-4,314,5.24,29.0,30,114,7.45,4.84,TellWy00
Jordan Thomas,CB,6-0,186,4.64,38.0,4,124,6.28,3.94,-9999
Chad Thomas,DE,6-6,281,4.92,29.0,,116,,,ThomCh06
Ian Thomas,TE,6-4,259,4.74,36.0,,123,7.15,4.20,ThomIa00
Jordan Thomas,TE,6-5,265,4.74,27.0,16,111,7.50,4.75,ThomJo05
Matthew Thomas,OLB,6-3,232,4.58,41.5,,131,6.85,4.28,ThomMa00
Roc Thomas,RB,5-10,198,4.56,35.5,16,125,,,ThomRo05
Trenton Thompson,DT,6-4,288,5.06,32.5,,111,7.68,4.56,ThomTr03
Henre Toliver,CB,6-1,185,4.63,32.5,6,117,7.01,4.15,-9999
Kevin Toliver,CB,6-3,204,,33.0,10,120,,,ToliKe00
Brett Toth,OT,6-6,291,,,,,,,TothBr00
Johnny Townsend,P,6-1,210,,,,,,,TownJo01
Shane Tripucka,P,6-3,211,,,,,,,-9999
Salesi Uhatafe,OG,6-5,310,5.40,28.0,,109,7.70,4.90,UhatSa00
Marquez Valdes-Scantling,WR,6-4,206,4.37,30.5,15,124,,,ValdMa00
Vita Vea,DT,6-4,347,5.10,,41,,,,VeaxVi00
Azeem Victor,ILB,6-1,240,4.72,32.5,19,115,7.20,4.40,VictAz00
Dmontre Wade,CB,6-0,200,4.57,35.5,15,120,,4.40,-9999
Akrum Wadley,RB,5-10,194,4.54,32.0,12,,,,WadlAk00
Trey Walker,S,6-2,200,4.51,33.0,14,119,7.00,4.28,-9999
Levi Wallace,CB,6-0,183,4.63,33.0,,,,,WallLe00
Mark Walton,RB,5-10,202,4.60,31.5,18,118,,,WaltMa00
Denzel Ward,CB,5-10,183,4.32,39.0,16,136,,,WardDe02
Fred Warner,OLB,6-3,236,4.64,38.5,21,119,6.90,4.28,WarnFr00
Chris Warren,RB,6-2,247,4.69,33.0,25,121,6.98,4.18,WarrCh01
James Washington,WR,5-11,213,4.54,34.5,14,120,7.11,4.32,WashJa00
Armani Watts,S,5-11,205,,35.0,13,120,7.25,4.37,WattAr00
