Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
2,37,HOU,Jalen Pitre,S,23,2022,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,99,5,1.0,PitrJa00
2,38,ATL,Arnold Ebiketie,DE,23,2022,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,21,,2.5,EbikAr00
2,39,CHI,Kyler Gordon,CB,22,2022,0,0,1,4,4,14,0,0,0,0,0,0,0,0,0,0,0,55,3,,GordKy00
2,40,SEA,Boye Mafe,DE,23,2022,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,28,,3.0,MafeBo00
2,41,SEA,Kenneth Walker III,RB,21,2022,0,0,1,8,8,15,0,0,0,0,0,228,1050,9,27,165,0,1,,,WalkKe00
2,42,MIN,Andrew Booth,CB,21,2022,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,12,,,BootAn00
2,43,NYG,Wan'Dale Robinson,WR,21,2022,0,0,0,2,2,6,0,0,0,0,0,2,-1,0,23,227,1,,,,RobiWa01
2,44,HOU,John Metchie,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,MetcJo00
2,45,BAL,David Ojabo,LB,22,2022,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,OjabDa00
2,46,DET,Josh Paschal,DE,22,2022,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,10,,2.0,PascJo00
2,47,WAS,Phidarian Mathis,DT,24,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,MathPh00
2,48,CHI,Jaquan Brisker,S,23,2022,0,0,1,4,4,15,0,0,0,0,0,0,0,0,0,0,0,73,1,4.0,BrisJa01
2,49,NOR,Alontae Taylor,DB,23,2022,0,0,1,3,3,13,0,0,0,0,0,0,0,0,0,0,0,39,,,TaylAl01
2,50,NWE,Tyquan Thornton,WR,22,2022,0,0,1,2,2,13,0,0,0,0,0,3,16,1,22,247,2,2,,,ThorTy00
2,51,PHI,Cam Jurgens,OL,23,2022,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,JurgCa01
2,52,PIT,George Pickens,WR,21,2022,0,0,1,7,7,17,0,0,0,0,0,3,24,1,52,801,4,1,,,PickGe00
2,53,IND,Alec Pierce,WR,22,2022,0,0,1,4,4,16,0,0,0,0,0,0,0,0,41,593,2,,,,PierAl00
2,54,KAN,Skyy Moore,WR,21,2022,0,0,0,2,2,16,0,0,0,0,0,3,24,0,22,250,0,1,,,MoorSk01
2,55,ARI,Trey McBride,TE,22,2022,0,0,1,2,2,16,0,0,0,0,0,0,0,0,29,265,1,6,,,McBrTr01
2,56,DAL,Sam Williams,DE,23,2022,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,15,,4.0,WillSa00
2,57,TAM,Luke Goedeke,OL,23,2022,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,1,,,GoedLu00
2,58,ATL,Troy Andersen,LB,23,2022,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,40,,,AndeTr00
2,59,MIN,Ed Ingram,G,23,2022,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,1,,,IngrEd00
2,60,CIN,Cam Taylor-Britt,CB,22,2022,0,0,1,4,4,10,0,0,0,0,0,0,0,0,0,0,0,41,,,TaylCa01
2,61,SFO,Drake Jackson,OLB,21,2022,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,8,1,3.0,JackDr01
2,62,KAN,Bryan Cook,S,23,2022,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,22,,1.0,CookBr02
2,63,BUF,James Cook,RB,22,2022,0,0,0,5,5,16,0,0,0,0,0,89,507,2,21,180,1,1,,,CookJa01
2,64,DEN,Nik Bonitto,OLB,22,2022,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,6,,1.5,BoniNi00
3,65,JAX,Luke Fortner,G,24,2022,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,FortLu01
3,66,MIN,Brian Asamoah,LB,22,2022,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,11,,,AsamBr00
3,67,NYG,Joshua Ezeudu,OL,22,2022,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,EzeuJo00
3,68,CLE,Martin Emerson,CB,21,2022,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,51,,1.0,EmerMa00
3,69,TEN,Nicholas Petit-Frere,T,22,2022,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,1,,,PetiNi00
3,70,JAX,Chad Muma,LB,23,2022,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,28,,1.5,MumaCh00
3,71,CHI,Velus Jones Jr.,WR,25,2022,0,0,0,2,2,12,0,0,0,0,0,9,103,1,7,107,1,,,,JoneVe00
