Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999,Pos_x,Pos_y
Colby Parkinson,6-7,252.0,4.77,32.5,18.0,109.0,7.15,4.46,ParkCo02,4,133,SEA,TE,21,2022.0,0,0,0,3.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,371.0,2.0,,,,ParkCo02,,
Dezmon Patmon,6-4,225.0,4.48,36.0,15.0,132.0,7.28,4.38,PatmDe00,6,212,IND,WR,22,2022.0,0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,45.0,1.0,,,,PatmDe00,,
Matt Peart,6-7,318.0,5.06,30.0,26.0,113.0,8.01,4.92,PearMa00,3,99,NYG,T,23,2022.0,0,0,0,4.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,PearMa00,,
John Penisini,6-1,318.0,,25.5,23.0,,,4.93,PeniJo00,6,197,DET,DT,23,2021.0,0,0,1,6.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,1.0,PeniJo00,,
Donovan Peoples-Jones,6-2,212.0,4.48,44.5,,139.0,,,PeopDo00,6,187,CLE,WR,21,2022.0,0,0,1,16.0,16.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,109.0,1740.0,8.0,2.0,,,PeopDo00,,
La'Mical Perine,5-11,216.0,4.62,35.0,22.0,118.0,7.13,4.31,PeriLa00,4,120,NYJ,RB,22,2021.0,0,0,0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,72.0,263.0,2.0,11.0,63.0,0.0,,,,PeriLa00,,
Malcolm Perry,5-9,186.0,4.63,36.0,10.0,122.0,7.12,4.31,PerrMa00,7,246,MIA,RB,23,2020.0,0,0,0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,9.0,92.0,1.0,,,,PerrMa00,,
Jacob Phillips,6-3,229.0,4.66,39.0,,126.0,7.38,4.33,PhilJa01,3,97,CLE,LB,21,2022.0,0,0,0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,3.0,PhilJa01,,
Tyre Phillips,6-5,331.0,5.37,25.0,22.0,93.0,8.17,5.11,PhilTy00,3,106,BAL,T,23,2022.0,0,0,0,9.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,PhilTy00,,
Danny Pinter,6-4,306.0,4.91,29.5,24.0,110.0,7.76,4.62,PintDa00,5,149,IND,G,24,2022.0,0,0,0,5.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,,,PintDa00,,
